time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,4.25902423848e-15,3.03125390791e-13,9.98233942667,6.28318470007,8.52634141069e-09,0.0,4.2590170184e-13,3.03163241744e-11,-0.588786129372,-3.03632843726e-05,4.26315571813e-07,0.0,1.68346464042e-05,0.176217918542,1.48717188511,0.00485038071727
0.12000000000000001,7.23802907575e-13,5.15428761839e-11,9.929309805,6.28318287827,3.41052750485e-08,0.0,3.7709860416e-11,2.68547961187e-09,-1.17927055814,-3.03632568972e-05,4.26315569382e-07,0.0,-0.00115035925457,-0.00299146864498,-0.000113506579454,0.00105033347943
0.18,8.91417025232e-12,6.34839273221e-10,9.84074778076,6.28318105648,5.96842024692e-08,0.0,2.87075959582e-10,2.04450596565e-08,-1.77350689292,-3.03632065389e-05,4.2631523941e-07,0.0,0.000154460554802,-0.00300093237617,-0.00110105252361,0.00166432853597
0.23999999999999996,4.66380136445e-11,3.32150128633e-09,9.71636539116,6.28317923469,8.52631174553e-08,0.0,1.08412214498e-09,7.72107604714e-08,-2.37359947788,-3.03631248158e-05,4.2631523698e-07,0.0,-0.00143907025161,-0.00168192604019,-0.0010276413374,0.0022482438166
0.3,1.61118260902e-10,1.14747853229e-08,9.55574618632,6.2831774129,1.10842032441e-07,0.0,2.93337798878e-09,2.08915826306e-07,-2.98173147535,-3.03629062866e-05,4.26315234549e-07,0.0,-0.0017629639268,-0.00200082566405,-0.00123247243723,0.00387550584662
0.36000000000000004,4.35212823057e-10,3.0995911191e-08,9.3583395407,6.28317559113,1.36420947427e-07,0.0,6.52024139779e-09,4.64374931236e-07,-3.6001972615,-3.03627325985e-05,4.26315232118e-07,0.0,-0.00385781908038,-0.000665857360017,-0.000780905107368,0.00342831360825
0.4200000000000001,9.98741679096e-10,7.11307696401e-08,9.12345292565,6.28317376937,1.61999919257e-07,0.0,1.27275441444e-08,9.06463773372e-07,-4.23143815627,-3.0362412085e-05,4.26318147253e-07,0.0,-0.001662348968,0.000460993482265,0.000266356983126,0.00474542179614
0.48000000000000015,2.04096473545e-09,1.45358562708e-07,8.85024190771,6.28317194763,1.87579007438e-07,0.0,2.26574709713e-08,1.61367933708e-06,-4.87808270388,-3.03621490333e-05,4.26318144823e-07,0.0,-0.000672903226858,-0.0015022293262,0.00138925752217,0.00449362137622
0.5400000000000001,3.82455962531e-09,2.72387231458e-07,8.53769755665,6.28317012591,2.13157968609e-07,0.0,3.76598023604e-08,2.68215144514e-06,-5.54299296683,-3.03620405619e-05,4.26311779038e-07,0.0,0.000680812509964,-0.00132676549679,0.000411142150579,0.00267806716836
0.6000000000000002,6.70151633963e-09,4.77285478139e-07,8.18463085042,6.28316830419,2.387365301e-07,0.0,5.93677937667e-08,4.22820030413e-06,-6.22931863834,-3.03619502003e-05,4.26304498432e-07,0.0,0.000728107853033,-0.00226901898179,0.00150237886654,0.00281798582434
0.6600000000000003,1.11314583125e-08,7.9278772019e-07,7.78965354191,6.28316648247,2.64313825049e-07,0.0,8.97434758978e-08,6.39156449741e-06,-6.94056124329,-3.03617387692e-05,4.26255733451e-07,0.0,0.00188463682944,-0.000708580860683,-0.000572264306564,0.00380822530928
0.7200000000000003,1.77030174669e-08,1.26081697373e-06,7.35115479862,6.28316466077,2.89887593041e-07,0.0,1.31134504951e-07,9.33946573497e-06,-7.6806513307,-3.03615476135e-05,4.26176954472e-07,0.0,0.00239542701076,-0.00164537639762,-0.0023099573925,0.00360911989502
0.7800000000000004,2.71590468435e-08,1.93428229292e-06,6.86727272694,6.28316283908,3.15457658218e-07,0.0,1.86345857809e-07,1.32717341411e-05,-8.45404242548,-3.0361386894e-05,4.26149340693e-07,0.0,0.0014181699922,-0.00158523534865,0.000477673337745,0.00332219116877
0.8400000000000004,4.04267016874e-08,2.87922295012e-06,6.33585963333,6.2831610174,3.41025669037e-07,0.0,2.58731183395e-07,1.84272915853e-05,-9.26582669331,-3.03612990306e-05,4.2610187367e-07,0.0,0.0018593851336,-0.00154647724458,0.000388859622362,0.00237764169564
0.9000000000000005,5.86537071128e-08,4.1773923287e-06,5.75443952989,6.28315919573,3.66587981304e-07,0.0,3.52308297367e-07,2.50923945322e-05,-10.1218789162,-3.03612532585e-05,4.25911910505e-07,0.0,0.00371977258927,-0.00235732536886,0.00132252372313,0.00204575545006
0.9600000000000005,8.32524351208e-08,5.92940276288e-06,5.12015593114,6.28315737405,3.92139372529e-07,0.0,4.71905407753e-07,3.36111837064e-05,-11.0290376758,-3.03613064531e-05,4.25745758653e-07,0.0,0.00347883547451,-0.00247572606189,0.00268386431912,0.00155899244858
1.0200000000000005,1.15954017596e-07,8.2585912758e-06,4.42970736189,6.28315555237,4.17677972209e-07,0.0,6.23351857531e-07,4.4399295236e-05,-11.9953358982,-3.03612320221e-05,4.2543846402e-07,0.0,0.00473107946423,-0.0011399544785,0.00136211026663,0.00252564868367
1.0800000000000005,1.58875541424e-07,1.13158197916e-05,3.67926713456,6.2831537307,4.43200698363e-07,0.0,8.13724949825e-07,5.79615812377e-05,-13.0302975866,-3.03612720421e-05,4.25259396307e-07,0.0,0.00361152125363,-4.75011959325e-05,0.00195269863576,-0.000757091701353
